result/fiu_webresearch-030409-033109.oracleGeneral.bin                             FIFO cache size       45, 3274061 req, miss ratio 0.9627, byte miss ratio 0.9627
result/fiu_webresearch-030409-033109.oracleGeneral.bin                             FIFO cache size      136, 3274061 req, miss ratio 0.8655, byte miss ratio 0.8655
result/fiu_webresearch-030409-033109.oracleGeneral.bin                             FIFO cache size      453, 3274061 req, miss ratio 0.7916, byte miss ratio 0.7916
result/fiu_webresearch-030409-033109.oracleGeneral.bin                             FIFO cache size     1361, 3274061 req, miss ratio 0.7036, byte miss ratio 0.7036
result/fiu_webresearch-030409-033109.oracleGeneral.bin                             FIFO cache size     4538, 3274061 req, miss ratio 0.6667, byte miss ratio 0.6667
result/fiu_webresearch-030409-033109.oracleGeneral.bin                             FIFO cache size     9076, 3274061 req, miss ratio 0.6574, byte miss ratio 0.6574
result/fiu_webresearch-030409-033109.oracleGeneral.bin                             FIFO cache size    18153, 3274061 req, miss ratio 0.6522, byte miss ratio 0.6522
result/fiu_webresearch-030409-033109.oracleGeneral.bin                             FIFO cache size    36306, 3274061 req, miss ratio 0.2702, byte miss ratio 0.2702
result/fiu_webresearch-030409-033109.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size       45, 3274061 req, miss ratio 0.7671, byte miss ratio 0.7671
result/fiu_webresearch-030409-033109.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size      136, 3274061 req, miss ratio 0.6740, byte miss ratio 0.6740
result/fiu_webresearch-030409-033109.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size      453, 3274061 req, miss ratio 0.6518, byte miss ratio 0.6518
result/fiu_webresearch-030409-033109.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     1361, 3274061 req, miss ratio 0.6439, byte miss ratio 0.6439
result/fiu_webresearch-030409-033109.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     4538, 3274061 req, miss ratio 0.6431, byte miss ratio 0.6431
result/fiu_webresearch-030409-033109.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     9076, 3274061 req, miss ratio 0.6432, byte miss ratio 0.6432
