result/msr_prn_0.oracleGeneral.bin                             FIFO cache size      711, 5585886 req, miss ratio 0.3957, byte miss ratio 0.3957
result/msr_prn_0.oracleGeneral.bin                             FIFO cache size     2134, 5585886 req, miss ratio 0.3597, byte miss ratio 0.3597
result/msr_prn_0.oracleGeneral.bin                             FIFO cache size     7113, 5585886 req, miss ratio 0.3339, byte miss ratio 0.3339
result/msr_prn_0.oracleGeneral.bin                             FIFO cache size    21341, 5585886 req, miss ratio 0.3039, byte miss ratio 0.3039
result/msr_prn_0.oracleGeneral.bin                             FIFO cache size    71138, 5585886 req, miss ratio 0.2403, byte miss ratio 0.2403
result/msr_prn_0.oracleGeneral.bin                             FIFO cache size   142277, 5585886 req, miss ratio 0.2036, byte miss ratio 0.2036
result/msr_prn_0.oracleGeneral.bin                             FIFO cache size   284554, 5585886 req, miss ratio 0.1556, byte miss ratio 0.1556
result/msr_prn_0.oracleGeneral.bin                             FIFO cache size   569108, 5585886 req, miss ratio 0.1393, byte miss ratio 0.1393
result/msr_prn_0.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size      711, 5585886 req, miss ratio 0.3719, byte miss ratio 0.3719
result/msr_prn_0.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     2134, 5585886 req, miss ratio 0.3359, byte miss ratio 0.3359
result/msr_prn_0.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     7113, 5585886 req, miss ratio 0.3032, byte miss ratio 0.3032
result/msr_prn_0.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    21341, 5585886 req, miss ratio 0.2762, byte miss ratio 0.2762
result/msr_prn_0.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    71138, 5585886 req, miss ratio 0.2195, byte miss ratio 0.2195
result/msr_prn_0.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   142277, 5585886 req, miss ratio 0.1769, byte miss ratio 0.1769
result/msr_prn_0.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   284554, 5585886 req, miss ratio 0.1362, byte miss ratio 0.1362
result/msr_prn_0.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   569108, 5585886 req, miss ratio 0.1289, byte miss ratio 0.1289
result/msr_prn_0.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size      711, 5585886 req, miss ratio 0.3781, byte miss ratio 0.3781
result/msr_prn_0.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     2134, 5585886 req, miss ratio 0.3449, byte miss ratio 0.3449
result/msr_prn_0.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     7113, 5585886 req, miss ratio 0.3160, byte miss ratio 0.3160
result/msr_prn_0.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    21341, 5585886 req, miss ratio 0.2845, byte miss ratio 0.2845
result/msr_prn_0.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    71138, 5585886 req, miss ratio 0.2140, byte miss ratio 0.2140
result/msr_prn_0.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   142277, 5585886 req, miss ratio 0.1762, byte miss ratio 0.1762
result/msr_prn_0.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   284554, 5585886 req, miss ratio 0.1362, byte miss ratio 0.1362
result/msr_prn_0.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   569108, 5585886 req, miss ratio 0.1289, byte miss ratio 0.1289
