result/msr_prxy_0.oracleGeneral.bin                             FIFO cache size      155, 12518968 req, miss ratio 0.9324, byte miss ratio 0.9324
result/msr_prxy_0.oracleGeneral.bin                             FIFO cache size      467, 12518968 req, miss ratio 0.9111, byte miss ratio 0.9111
result/msr_prxy_0.oracleGeneral.bin                             FIFO cache size     1556, 12518968 req, miss ratio 0.4815, byte miss ratio 0.4815
result/msr_prxy_0.oracleGeneral.bin                             FIFO cache size     4670, 12518968 req, miss ratio 0.1230, byte miss ratio 0.1230
result/msr_prxy_0.oracleGeneral.bin                             FIFO cache size    15568, 12518968 req, miss ratio 0.0581, byte miss ratio 0.0581
result/msr_prxy_0.oracleGeneral.bin                             FIFO cache size    31136, 12518968 req, miss ratio 0.0336, byte miss ratio 0.0336
result/msr_prxy_0.oracleGeneral.bin                             FIFO cache size    62272, 12518968 req, miss ratio 0.0213, byte miss ratio 0.0213
result/msr_prxy_0.oracleGeneral.bin                             FIFO cache size   124544, 12518968 req, miss ratio 0.0147, byte miss ratio 0.0147
result/msr_prxy_0.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size      155, 12518968 req, miss ratio 0.8900, byte miss ratio 0.8900
result/msr_prxy_0.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size      467, 12518968 req, miss ratio 0.8629, byte miss ratio 0.8629
result/msr_prxy_0.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     1556, 12518968 req, miss ratio 0.2956, byte miss ratio 0.2956
result/msr_prxy_0.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     4670, 12518968 req, miss ratio 0.0715, byte miss ratio 0.0715
result/msr_prxy_0.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    15568, 12518968 req, miss ratio 0.0459, byte miss ratio 0.0459
result/msr_prxy_0.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    31136, 12518968 req, miss ratio 0.0249, byte miss ratio 0.0249
result/msr_prxy_0.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    62272, 12518968 req, miss ratio 0.0161, byte miss ratio 0.0161
