result/tencentBlock.ns4586.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size      279, 4155308 req, miss ratio 0.4074, byte miss ratio 0.4074
result/tencentBlock.ns4586.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size      838, 4155308 req, miss ratio 0.3519, byte miss ratio 0.3519
result/tencentBlock.ns4586.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     2793, 4155308 req, miss ratio 0.3370, byte miss ratio 0.3370
result/tencentBlock.ns4586.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     8380, 4155308 req, miss ratio 0.3235, byte miss ratio 0.3235
result/tencentBlock.ns4586.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    27936, 4155308 req, miss ratio 0.2809, byte miss ratio 0.2809
result/tencentBlock.ns4586.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    55872, 4155308 req, miss ratio 0.2280, byte miss ratio 0.2280
result/tencentBlock.ns4586.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   111745, 4155308 req, miss ratio 0.1228, byte miss ratio 0.1228
result/tencentBlock.ns4586.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   223490, 4155308 req, miss ratio 0.0732, byte miss ratio 0.0732
result/tencentBlock.ns4586.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size      279, 4155308 req, miss ratio 0.3988, byte miss ratio 0.3988
result/tencentBlock.ns4586.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size      838, 4155308 req, miss ratio 0.3496, byte miss ratio 0.3496
result/tencentBlock.ns4586.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     2793, 4155308 req, miss ratio 0.3356, byte miss ratio 0.3356
result/tencentBlock.ns4586.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     8380, 4155308 req, miss ratio 0.3219, byte miss ratio 0.3219
result/tencentBlock.ns4586.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    27936, 4155308 req, miss ratio 0.2815, byte miss ratio 0.2815
result/tencentBlock.ns4586.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    55872, 4155308 req, miss ratio 0.2195, byte miss ratio 0.2195
result/tencentBlock.ns4586.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   111745, 4155308 req, miss ratio 0.1212, byte miss ratio 0.1212
result/tencentBlock.ns4586.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   223490, 4155308 req, miss ratio 0.0732, byte miss ratio 0.0732
result/tencentBlock.ns4586.oracleGeneral.bin                             FIFO cache size      279, 4155308 req, miss ratio 0.5159, byte miss ratio 0.5159
result/tencentBlock.ns4586.oracleGeneral.bin                             FIFO cache size      838, 4155308 req, miss ratio 0.4209, byte miss ratio 0.4209
result/tencentBlock.ns4586.oracleGeneral.bin                             FIFO cache size     2793, 4155308 req, miss ratio 0.3650, byte miss ratio 0.3650
result/tencentBlock.ns4586.oracleGeneral.bin                             FIFO cache size     8380, 4155308 req, miss ratio 0.3382, byte miss ratio 0.3382
result/tencentBlock.ns4586.oracleGeneral.bin                             FIFO cache size    27936, 4155308 req, miss ratio 0.2943, byte miss ratio 0.2943
result/tencentBlock.ns4586.oracleGeneral.bin                             FIFO cache size    55872, 4155308 req, miss ratio 0.2585, byte miss ratio 0.2585
result/tencentBlock.ns4586.oracleGeneral.bin                             FIFO cache size   111745, 4155308 req, miss ratio 0.1611, byte miss ratio 0.1611
result/tencentBlock.ns4586.oracleGeneral.bin                             FIFO cache size   223490, 4155308 req, miss ratio 0.0892, byte miss ratio 0.0892
result/tencentBlock.ns4586.oracleGeneral.bin                              LRU cache size      279, 4155308 req, miss ratio 0.4501, byte miss ratio 0.4501
result/tencentBlock.ns4586.oracleGeneral.bin                              LRU cache size      838, 4155308 req, miss ratio 0.3733, byte miss ratio 0.3733
result/tencentBlock.ns4586.oracleGeneral.bin                              LRU cache size     2793, 4155308 req, miss ratio 0.3433, byte miss ratio 0.3433
result/tencentBlock.ns4586.oracleGeneral.bin                              LRU cache size     8380, 4155308 req, miss ratio 0.3281, byte miss ratio 0.3281
result/tencentBlock.ns4586.oracleGeneral.bin                              LRU cache size    27936, 4155308 req, miss ratio 0.2887, byte miss ratio 0.2887
