result/io_traces.ns367.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size       91, 1400000 req, miss ratio 0.4843, byte miss ratio 0.4843
result/io_traces.ns367.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size      275, 1400000 req, miss ratio 0.4586, byte miss ratio 0.4586
result/io_traces.ns367.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size      919, 1400000 req, miss ratio 0.4495, byte miss ratio 0.4495
result/io_traces.ns367.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     2757, 1400000 req, miss ratio 0.4288, byte miss ratio 0.4288
result/io_traces.ns367.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     9190, 1400000 req, miss ratio 0.2902, byte miss ratio 0.2902
result/io_traces.ns367.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    18381, 1400000 req, miss ratio 0.1962, byte miss ratio 0.1962
result/io_traces.ns367.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    36762, 1400000 req, miss ratio 0.1063, byte miss ratio 0.1063
result/io_traces.ns367.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    73525, 1400000 req, miss ratio 0.0794, byte miss ratio 0.0794
result/io_traces.ns367.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size       91, 1400000 req, miss ratio 0.4817, byte miss ratio 0.4817
result/io_traces.ns367.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size      275, 1400000 req, miss ratio 0.4571, byte miss ratio 0.4571
result/io_traces.ns367.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size      919, 1400000 req, miss ratio 0.4494, byte miss ratio 0.4494
result/io_traces.ns367.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     2757, 1400000 req, miss ratio 0.4288, byte miss ratio 0.4288
result/io_traces.ns367.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     9190, 1400000 req, miss ratio 0.2933, byte miss ratio 0.2933
result/io_traces.ns367.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    18381, 1400000 req, miss ratio 0.2008, byte miss ratio 0.2008
result/io_traces.ns367.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    36762, 1400000 req, miss ratio 0.1073, byte miss ratio 0.1073
result/io_traces.ns367.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    73525, 1400000 req, miss ratio 0.0794, byte miss ratio 0.0794
result/io_traces.ns367.oracleGeneral.bin                             FIFO cache size       91, 1400000 req, miss ratio 0.5316, byte miss ratio 0.5316
result/io_traces.ns367.oracleGeneral.bin                             FIFO cache size      275, 1400000 req, miss ratio 0.4965, byte miss ratio 0.4965
result/io_traces.ns367.oracleGeneral.bin                             FIFO cache size      919, 1400000 req, miss ratio 0.4721, byte miss ratio 0.4721
result/io_traces.ns367.oracleGeneral.bin                             FIFO cache size     2757, 1400000 req, miss ratio 0.4596, byte miss ratio 0.4596
result/io_traces.ns367.oracleGeneral.bin                             FIFO cache size     9190, 1400000 req, miss ratio 0.4481, byte miss ratio 0.4481
result/io_traces.ns367.oracleGeneral.bin                             FIFO cache size    18381, 1400000 req, miss ratio 0.3299, byte miss ratio 0.3299
result/io_traces.ns367.oracleGeneral.bin                             FIFO cache size    36762, 1400000 req, miss ratio 0.1754, byte miss ratio 0.1754
result/io_traces.ns367.oracleGeneral.bin                             FIFO cache size    73525, 1400000 req, miss ratio 0.1011, byte miss ratio 0.1011
