result/tencentBlock.ns2561.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size      356, 2329554 req, miss ratio 0.5318, byte miss ratio 0.5318
result/tencentBlock.ns2561.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     1068, 2329554 req, miss ratio 0.5230, byte miss ratio 0.5230
result/tencentBlock.ns2561.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     3561, 2329554 req, miss ratio 0.5166, byte miss ratio 0.5166
result/tencentBlock.ns2561.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    10685, 2329554 req, miss ratio 0.5139, byte miss ratio 0.5139
result/tencentBlock.ns2561.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    35617, 2329554 req, miss ratio 0.4394, byte miss ratio 0.4394
result/tencentBlock.ns2561.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    71235, 2329554 req, miss ratio 0.3951, byte miss ratio 0.3951
result/tencentBlock.ns2561.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   142471, 2329554 req, miss ratio 0.2533, byte miss ratio 0.2533
result/tencentBlock.ns2561.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   284943, 2329554 req, miss ratio 0.1600, byte miss ratio 0.1600
result/tencentBlock.ns2561.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size      356, 2329554 req, miss ratio 0.5302, byte miss ratio 0.5302
result/tencentBlock.ns2561.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     1068, 2329554 req, miss ratio 0.5223, byte miss ratio 0.5223
result/tencentBlock.ns2561.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     3561, 2329554 req, miss ratio 0.5159, byte miss ratio 0.5159
result/tencentBlock.ns2561.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    10685, 2329554 req, miss ratio 0.5135, byte miss ratio 0.5135
result/tencentBlock.ns2561.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    35617, 2329554 req, miss ratio 0.4291, byte miss ratio 0.4291
result/tencentBlock.ns2561.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    71235, 2329554 req, miss ratio 0.3801, byte miss ratio 0.3801
result/tencentBlock.ns2561.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   142471, 2329554 req, miss ratio 0.2496, byte miss ratio 0.2496
result/tencentBlock.ns2561.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   284943, 2329554 req, miss ratio 0.1600, byte miss ratio 0.1600
result/tencentBlock.ns2561.oracleGeneral.bin                             FIFO cache size      356, 2329554 req, miss ratio 0.5759, byte miss ratio 0.5759
result/tencentBlock.ns2561.oracleGeneral.bin                             FIFO cache size     1068, 2329554 req, miss ratio 0.5418, byte miss ratio 0.5418
result/tencentBlock.ns2561.oracleGeneral.bin                             FIFO cache size     3561, 2329554 req, miss ratio 0.5253, byte miss ratio 0.5253
result/tencentBlock.ns2561.oracleGeneral.bin                             FIFO cache size    10685, 2329554 req, miss ratio 0.5181, byte miss ratio 0.5181
result/tencentBlock.ns2561.oracleGeneral.bin                             FIFO cache size    35617, 2329554 req, miss ratio 0.4762, byte miss ratio 0.4762
result/tencentBlock.ns2561.oracleGeneral.bin                             FIFO cache size    71235, 2329554 req, miss ratio 0.4417, byte miss ratio 0.4417
result/tencentBlock.ns2561.oracleGeneral.bin                             FIFO cache size   142471, 2329554 req, miss ratio 0.2893, byte miss ratio 0.2893
result/tencentBlock.ns2561.oracleGeneral.bin                             FIFO cache size   284943, 2329554 req, miss ratio 0.1836, byte miss ratio 0.1836
result/tencentBlock.ns2561.oracleGeneral.bin                              LRU cache size      356, 2329554 req, miss ratio 0.5372, byte miss ratio 0.5372
result/tencentBlock.ns2561.oracleGeneral.bin                              LRU cache size     1068, 2329554 req, miss ratio 0.5245, byte miss ratio 0.5245
result/tencentBlock.ns2561.oracleGeneral.bin                              LRU cache size     3561, 2329554 req, miss ratio 0.5183, byte miss ratio 0.5183
result/tencentBlock.ns2561.oracleGeneral.bin                              LRU cache size    10685, 2329554 req, miss ratio 0.5151, byte miss ratio 0.5151
result/tencentBlock.ns2561.oracleGeneral.bin                              LRU cache size    35617, 2329554 req, miss ratio 0.4683, byte miss ratio 0.4683
