result/tencentBlock.ns4484.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size       91, 2172872 req, miss ratio 0.2778, byte miss ratio 0.2778
result/tencentBlock.ns4484.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size      273, 2172872 req, miss ratio 0.2267, byte miss ratio 0.2267
result/tencentBlock.ns4484.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size      910, 2172872 req, miss ratio 0.2173, byte miss ratio 0.2173
result/tencentBlock.ns4484.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     2731, 2172872 req, miss ratio 0.2121, byte miss ratio 0.2121
result/tencentBlock.ns4484.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     9104, 2172872 req, miss ratio 0.2084, byte miss ratio 0.2084
result/tencentBlock.ns4484.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    18209, 2172872 req, miss ratio 0.1738, byte miss ratio 0.1738
result/tencentBlock.ns4484.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    36419, 2172872 req, miss ratio 0.1245, byte miss ratio 0.1245
result/tencentBlock.ns4484.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    72838, 2172872 req, miss ratio 0.0472, byte miss ratio 0.0472
result/tencentBlock.ns4484.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size       91, 2172872 req, miss ratio 0.2769, byte miss ratio 0.2769
result/tencentBlock.ns4484.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size      273, 2172872 req, miss ratio 0.2261, byte miss ratio 0.2261
result/tencentBlock.ns4484.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size      910, 2172872 req, miss ratio 0.2162, byte miss ratio 0.2162
result/tencentBlock.ns4484.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     2731, 2172872 req, miss ratio 0.2120, byte miss ratio 0.2120
result/tencentBlock.ns4484.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     9104, 2172872 req, miss ratio 0.2084, byte miss ratio 0.2084
result/tencentBlock.ns4484.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    18209, 2172872 req, miss ratio 0.1735, byte miss ratio 0.1735
result/tencentBlock.ns4484.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    36419, 2172872 req, miss ratio 0.1263, byte miss ratio 0.1263
result/tencentBlock.ns4484.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    72838, 2172872 req, miss ratio 0.0472, byte miss ratio 0.0472
result/tencentBlock.ns4484.oracleGeneral.bin                             FIFO cache size       91, 2172872 req, miss ratio 0.4504, byte miss ratio 0.4504
result/tencentBlock.ns4484.oracleGeneral.bin                             FIFO cache size      273, 2172872 req, miss ratio 0.2978, byte miss ratio 0.2978
result/tencentBlock.ns4484.oracleGeneral.bin                             FIFO cache size      910, 2172872 req, miss ratio 0.2438, byte miss ratio 0.2438
result/tencentBlock.ns4484.oracleGeneral.bin                             FIFO cache size     2731, 2172872 req, miss ratio 0.2255, byte miss ratio 0.2255
result/tencentBlock.ns4484.oracleGeneral.bin                             FIFO cache size     9104, 2172872 req, miss ratio 0.2177, byte miss ratio 0.2177
result/tencentBlock.ns4484.oracleGeneral.bin                             FIFO cache size    18209, 2172872 req, miss ratio 0.2149, byte miss ratio 0.2149
result/tencentBlock.ns4484.oracleGeneral.bin                             FIFO cache size    36419, 2172872 req, miss ratio 0.1342, byte miss ratio 0.1342
result/tencentBlock.ns4484.oracleGeneral.bin                             FIFO cache size    72838, 2172872 req, miss ratio 0.0646, byte miss ratio 0.0646
result/tencentBlock.ns4484.oracleGeneral.bin                              LRU cache size       91, 2172872 req, miss ratio 0.3570, byte miss ratio 0.3570
result/tencentBlock.ns4484.oracleGeneral.bin                              LRU cache size      273, 2172872 req, miss ratio 0.2396, byte miss ratio 0.2396
result/tencentBlock.ns4484.oracleGeneral.bin                              LRU cache size      910, 2172872 req, miss ratio 0.2227, byte miss ratio 0.2227
result/tencentBlock.ns4484.oracleGeneral.bin                              LRU cache size     2731, 2172872 req, miss ratio 0.2170, byte miss ratio 0.2170
result/tencentBlock.ns4484.oracleGeneral.bin                              LRU cache size     9104, 2172872 req, miss ratio 0.2143, byte miss ratio 0.2143
result/tencentBlock.ns4484.oracleGeneral.bin                              LRU cache size    18209, 2172872 req, miss ratio 0.2126, byte miss ratio 0.2126
result/tencentBlock.ns4484.oracleGeneral.bin                              LRU cache size    36419, 2172872 req, miss ratio 0.1654, byte miss ratio 0.1654
result/tencentBlock.ns4484.oracleGeneral.bin                              LRU cache size    72838, 2172872 req, miss ratio 0.0500, byte miss ratio 0.0500
result/tencentBlock.ns4484.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size       91, 2172872 req, miss ratio 0.2745, byte miss ratio 0.2745
result/tencentBlock.ns4484.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size      273, 2172872 req, miss ratio 0.2226, byte miss ratio 0.2226
result/tencentBlock.ns4484.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size      910, 2172872 req, miss ratio 0.2162, byte miss ratio 0.2162
result/tencentBlock.ns4484.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size     2731, 2172872 req, miss ratio 0.2118, byte miss ratio 0.2118
result/tencentBlock.ns4484.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size     9104, 2172872 req, miss ratio 0.2081, byte miss ratio 0.2081
result/tencentBlock.ns4484.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size    18209, 2172872 req, miss ratio 0.1738, byte miss ratio 0.1738
result/tencentBlock.ns4484.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size    36419, 2172872 req, miss ratio 0.1254, byte miss ratio 0.1254
result/tencentBlock.ns4484.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size    72838, 2172872 req, miss ratio 0.0435, byte miss ratio 0.0435
result/tencentBlock.ns4484.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size       91, 2172872 req, miss ratio 0.2752, byte miss ratio 0.2752
result/tencentBlock.ns4484.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size      273, 2172872 req, miss ratio 0.2239, byte miss ratio 0.2239
result/tencentBlock.ns4484.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size      910, 2172872 req, miss ratio 0.2162, byte miss ratio 0.2162
result/tencentBlock.ns4484.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size     2731, 2172872 req, miss ratio 0.2118, byte miss ratio 0.2118
result/tencentBlock.ns4484.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size     9104, 2172872 req, miss ratio 0.2081, byte miss ratio 0.2081
result/tencentBlock.ns4484.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size    18209, 2172872 req, miss ratio 0.1739, byte miss ratio 0.1739
