result/w52.oracleGeneral.bin                              LRU cache size      694, 11451546 req, miss ratio 0.5474, byte miss ratio 0.5474
result/w52.oracleGeneral.bin                              LRU cache size     2084, 11451546 req, miss ratio 0.5211, byte miss ratio 0.5211
result/w52.oracleGeneral.bin                              LRU cache size     6948, 11451546 req, miss ratio 0.4825, byte miss ratio 0.4825
result/w52.oracleGeneral.bin                              LRU cache size    20845, 11451546 req, miss ratio 0.4539, byte miss ratio 0.4539
result/w52.oracleGeneral.bin                              LRU cache size    69483, 11451546 req, miss ratio 0.1972, byte miss ratio 0.1972
result/w52.oracleGeneral.bin                              LRU cache size   138967, 11451546 req, miss ratio 0.1138, byte miss ratio 0.1138
result/w52.oracleGeneral.bin                              LRU cache size   277935, 11451546 req, miss ratio 0.0748, byte miss ratio 0.0748
result/w52.oracleGeneral.bin                              LRU cache size   555871, 11451546 req, miss ratio 0.0642, byte miss ratio 0.0642
result/w52.oracleGeneral.bin                             FIFO cache size      694, 11451546 req, miss ratio 0.5615, byte miss ratio 0.5615
result/w52.oracleGeneral.bin                             FIFO cache size     2084, 11451546 req, miss ratio 0.5312, byte miss ratio 0.5312
result/w52.oracleGeneral.bin                             FIFO cache size     6948, 11451546 req, miss ratio 0.4905, byte miss ratio 0.4905
result/w52.oracleGeneral.bin                             FIFO cache size    20845, 11451546 req, miss ratio 0.4602, byte miss ratio 0.4602
result/w52.oracleGeneral.bin                             FIFO cache size    69483, 11451546 req, miss ratio 0.2258, byte miss ratio 0.2258
result/w52.oracleGeneral.bin                             FIFO cache size   138967, 11451546 req, miss ratio 0.1471, byte miss ratio 0.1471
result/w52.oracleGeneral.bin                             FIFO cache size   277935, 11451546 req, miss ratio 0.0805, byte miss ratio 0.0805
result/w52.oracleGeneral.bin                             FIFO cache size   555871, 11451546 req, miss ratio 0.0736, byte miss ratio 0.0736
result/w52.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size      694, 11451546 req, miss ratio 0.5282, byte miss ratio 0.5282
result/w52.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size     2084, 11451546 req, miss ratio 0.4954, byte miss ratio 0.4954
result/w52.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size     6948, 11451546 req, miss ratio 0.4478, byte miss ratio 0.4478
result/w52.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size    20845, 11451546 req, miss ratio 0.4015, byte miss ratio 0.4015
result/w52.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size    69483, 11451546 req, miss ratio 0.1498, byte miss ratio 0.1498
result/w52.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size   138967, 11451546 req, miss ratio 0.0950, byte miss ratio 0.0950
result/w52.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size   277935, 11451546 req, miss ratio 0.0659, byte miss ratio 0.0659
result/w52.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size   555871, 11451546 req, miss ratio 0.0619, byte miss ratio 0.0619
result/w52.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size      694, 11451546 req, miss ratio 0.5285, byte miss ratio 0.5285
result/w52.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size     2084, 11451546 req, miss ratio 0.4954, byte miss ratio 0.4954
result/w52.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size     6948, 11451546 req, miss ratio 0.4475, byte miss ratio 0.4475
result/w52.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size    20845, 11451546 req, miss ratio 0.4022, byte miss ratio 0.4022
result/w52.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size    69483, 11451546 req, miss ratio 0.1510, byte miss ratio 0.1510
result/w52.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size   138967, 11451546 req, miss ratio 0.0951, byte miss ratio 0.0951
result/w52.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size   277935, 11451546 req, miss ratio 0.0658, byte miss ratio 0.0658
result/w52.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size   555871, 11451546 req, miss ratio 0.0619, byte miss ratio 0.0619
result/w52.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size      694, 11451546 req, miss ratio 0.5286, byte miss ratio 0.5286
result/w52.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     2084, 11451546 req, miss ratio 0.4948, byte miss ratio 0.4948
result/w52.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     6948, 11451546 req, miss ratio 0.4454, byte miss ratio 0.4454
result/w52.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    20845, 11451546 req, miss ratio 0.3989, byte miss ratio 0.3989
result/w52.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    69483, 11451546 req, miss ratio 0.1519, byte miss ratio 0.1519
result/w52.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   138967, 11451546 req, miss ratio 0.0949, byte miss ratio 0.0949
