result/msr_proj_0.oracleGeneral                             FIFO cache size      286, 4224524 req, miss ratio 0.7853, byte miss ratio 0.7853
result/msr_proj_0.oracleGeneral                             FIFO cache size     1431, 4224524 req, miss ratio 0.6626, byte miss ratio 0.6626
result/msr_proj_0.oracleGeneral                             FIFO cache size     2862, 4224524 req, miss ratio 0.5596, byte miss ratio 0.5596
result/msr_proj_0.oracleGeneral                             FIFO cache size     5724, 4224524 req, miss ratio 0.4728, byte miss ratio 0.4728
result/msr_proj_0.oracleGeneral                             FIFO cache size    14311, 4224524 req, miss ratio 0.3624, byte miss ratio 0.3624
result/msr_proj_0.oracleGeneral                             FIFO cache size    28622, 4224524 req, miss ratio 0.2632, byte miss ratio 0.2632
result/msr_proj_0.oracleGeneral                             FIFO cache size    57245, 4224524 req, miss ratio 0.1787, byte miss ratio 0.1787
result/msr_proj_0.oracleGeneral                             FIFO cache size   114491, 4224524 req, miss ratio 0.1044, byte miss ratio 0.1044
result/msr_proj_0.oracleGeneral                              LFU cache size      286, 4224524 req, miss ratio 0.8018, byte miss ratio 0.8018
result/msr_proj_0.oracleGeneral                              LFU cache size     1431, 4224524 req, miss ratio 0.7761, byte miss ratio 0.7761
result/msr_proj_0.oracleGeneral                              LFU cache size     2862, 4224524 req, miss ratio 0.7519, byte miss ratio 0.7519
result/msr_proj_0.oracleGeneral                              LFU cache size     5724, 4224524 req, miss ratio 0.7263, byte miss ratio 0.7263
result/msr_proj_0.oracleGeneral                              LFU cache size    14311, 4224524 req, miss ratio 0.6581, byte miss ratio 0.6581
result/msr_proj_0.oracleGeneral                              LFU cache size    28622, 4224524 req, miss ratio 0.5580, byte miss ratio 0.5580
result/msr_proj_0.oracleGeneral                              LFU cache size    57245, 4224524 req, miss ratio 0.3550, byte miss ratio 0.3550
result/msr_proj_0.oracleGeneral                              LFU cache size   114491, 4224524 req, miss ratio 0.1577, byte miss ratio 0.1577
result/msr_proj_0.oracleGeneral                              LRU cache size      286, 4224524 req, miss ratio 0.7748, byte miss ratio 0.7748
result/msr_proj_0.oracleGeneral                              LRU cache size     1431, 4224524 req, miss ratio 0.6460, byte miss ratio 0.6460
result/msr_proj_0.oracleGeneral                              LRU cache size     2862, 4224524 req, miss ratio 0.5235, byte miss ratio 0.5235
result/msr_proj_0.oracleGeneral                              LRU cache size     5724, 4224524 req, miss ratio 0.4397, byte miss ratio 0.4397
result/msr_proj_0.oracleGeneral                              LRU cache size    14311, 4224524 req, miss ratio 0.3395, byte miss ratio 0.3395
result/msr_proj_0.oracleGeneral                              LRU cache size    28622, 4224524 req, miss ratio 0.2375, byte miss ratio 0.2375
result/msr_proj_0.oracleGeneral                              LRU cache size    57245, 4224524 req, miss ratio 0.1557, byte miss ratio 0.1557
result/msr_proj_0.oracleGeneral                              LRU cache size   114491, 4224524 req, miss ratio 0.0936, byte miss ratio 0.0936
result/msr_proj_0.oracleGeneral                  S5FIFO-0.1000-2 cache size      286, 4224524 req, miss ratio 0.7162, byte miss ratio 0.7162
