result/msr_src1_0.oracleGeneral                             FIFO cache size     5659, 37415613 req, miss ratio 0.9881, byte miss ratio 0.9881
result/msr_src1_0.oracleGeneral                             FIFO cache size    28296, 37415613 req, miss ratio 0.9758, byte miss ratio 0.9758
result/msr_src1_0.oracleGeneral                             FIFO cache size    56593, 37415613 req, miss ratio 0.9649, byte miss ratio 0.9649
result/msr_src1_0.oracleGeneral                             FIFO cache size   113186, 37415613 req, miss ratio 0.9495, byte miss ratio 0.9495
result/msr_src1_0.oracleGeneral                             FIFO cache size   282967, 37415613 req, miss ratio 0.9281, byte miss ratio 0.9281
result/msr_src1_0.oracleGeneral                             FIFO cache size   565934, 37415613 req, miss ratio 0.9151, byte miss ratio 0.9151
result/msr_src1_0.oracleGeneral                             FIFO cache size  1131868, 37415613 req, miss ratio 0.8526, byte miss ratio 0.8526
result/msr_src1_0.oracleGeneral                             FIFO cache size  2263736, 37415613 req, miss ratio 0.5916, byte miss ratio 0.5916
result/msr_src1_0.oracleGeneral                              LFU cache size     5659, 37415613 req, miss ratio 0.9943, byte miss ratio 0.9943
result/msr_src1_0.oracleGeneral                              LFU cache size    28296, 37415613 req, miss ratio 0.9717, byte miss ratio 0.9717
result/msr_src1_0.oracleGeneral                              LFU cache size    56593, 37415613 req, miss ratio 0.9490, byte miss ratio 0.9490
result/msr_src1_0.oracleGeneral                              LFU cache size   113186, 37415613 req, miss ratio 0.9210, byte miss ratio 0.9210
result/msr_src1_0.oracleGeneral                              LFU cache size   282967, 37415613 req, miss ratio 0.8618, byte miss ratio 0.8618
result/msr_src1_0.oracleGeneral                              LFU cache size   565934, 37415613 req, miss ratio 0.7845, byte miss ratio 0.7845
result/msr_src1_0.oracleGeneral                              LFU cache size  1131868, 37415613 req, miss ratio 0.7285, byte miss ratio 0.7285
result/msr_src1_0.oracleGeneral                              LFU cache size  2263736, 37415613 req, miss ratio 0.4643, byte miss ratio 0.4643
result/msr_src1_0.oracleGeneral                              LRU cache size     5659, 37415613 req, miss ratio 0.9880, byte miss ratio 0.9880
result/msr_src1_0.oracleGeneral                              LRU cache size    28296, 37415613 req, miss ratio 0.9754, byte miss ratio 0.9754
result/msr_src1_0.oracleGeneral                              LRU cache size    56593, 37415613 req, miss ratio 0.9640, byte miss ratio 0.9640
result/msr_src1_0.oracleGeneral                              LRU cache size   113186, 37415613 req, miss ratio 0.9470, byte miss ratio 0.9470
result/msr_src1_0.oracleGeneral                              LRU cache size   282967, 37415613 req, miss ratio 0.9259, byte miss ratio 0.9259
result/msr_src1_0.oracleGeneral                              LRU cache size   565934, 37415613 req, miss ratio 0.9132, byte miss ratio 0.9132
result/msr_src1_0.oracleGeneral                              LRU cache size  1131868, 37415613 req, miss ratio 0.8801, byte miss ratio 0.8801
result/msr_src1_0.oracleGeneral                              LRU cache size  2263736, 37415613 req, miss ratio 0.5091, byte miss ratio 0.5091
result/msr_src1_0.oracleGeneral                  S5FIFO-0.1000-2 cache size     5659, 37415613 req, miss ratio 0.9913, byte miss ratio 0.9913
result/msr_src1_0.oracleGeneral                  S5FIFO-0.1000-2 cache size    28296, 37415613 req, miss ratio 0.9725, byte miss ratio 0.9725
result/msr_src1_0.oracleGeneral                  S5FIFO-0.1000-2 cache size    56593, 37415613 req, miss ratio 0.9559, byte miss ratio 0.9559
result/msr_src1_0.oracleGeneral                  S5FIFO-0.1000-2 cache size   113186, 37415613 req, miss ratio 0.9300, byte miss ratio 0.9300
result/msr_src1_0.oracleGeneral                  S5FIFO-0.1000-2 cache size   282967, 37415613 req, miss ratio 0.8714, byte miss ratio 0.8714
result/msr_src1_0.oracleGeneral                  S5FIFO-0.1000-2 cache size   565934, 37415613 req, miss ratio 0.7985, byte miss ratio 0.7985
result/msr_src1_0.oracleGeneral                  S5FIFO-0.1000-2 cache size  1131868, 37415613 req, miss ratio 0.6866, byte miss ratio 0.6866
result/msr_src1_0.oracleGeneral                  S5FIFO-0.1000-2 cache size  2263736, 37415613 req, miss ratio 0.3620, byte miss ratio 0.3620
result/msr_src1_0.oracleGeneral                  S4FIFO-0.1000-2 cache size     5659, 37415613 req, miss ratio 0.9923, byte miss ratio 0.9923
