result/fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral                             FIFO cache size      549, 14294158 req, miss ratio 0.8799, byte miss ratio 0.8799
result/fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral                             FIFO cache size     2745, 14294158 req, miss ratio 0.7405, byte miss ratio 0.7405
result/fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral                             FIFO cache size     5491, 14294158 req, miss ratio 0.7051, byte miss ratio 0.7051
result/fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral                             FIFO cache size    10983, 14294158 req, miss ratio 0.6821, byte miss ratio 0.6821
result/fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral                             FIFO cache size    27458, 14294158 req, miss ratio 0.6605, byte miss ratio 0.6605
result/fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral                             FIFO cache size    54917, 14294158 req, miss ratio 0.5597, byte miss ratio 0.5597
result/fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral                             FIFO cache size   109834, 14294158 req, miss ratio 0.3516, byte miss ratio 0.3516
result/fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral                             FIFO cache size   219669, 14294158 req, miss ratio 0.2666, byte miss ratio 0.2666
result/fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral                              LFU cache size      549, 14294158 req, miss ratio 0.8590, byte miss ratio 0.8590
result/fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral                              LFU cache size     2745, 14294158 req, miss ratio 0.7612, byte miss ratio 0.7612
result/fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral                              LFU cache size     5491, 14294158 req, miss ratio 0.7351, byte miss ratio 0.7351
result/fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral                              LFU cache size    10983, 14294158 req, miss ratio 0.6904, byte miss ratio 0.6904
result/fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral                              LFU cache size    27458, 14294158 req, miss ratio 0.6474, byte miss ratio 0.6474
result/fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral                              LFU cache size    54917, 14294158 req, miss ratio 0.6168, byte miss ratio 0.6168
result/fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral                              LFU cache size   109834, 14294158 req, miss ratio 0.3768, byte miss ratio 0.3768
result/fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral                              LFU cache size   219669, 14294158 req, miss ratio 0.1681, byte miss ratio 0.1681
result/fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral                              LRU cache size      549, 14294158 req, miss ratio 0.8548, byte miss ratio 0.8548
result/fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral                              LRU cache size     2745, 14294158 req, miss ratio 0.6942, byte miss ratio 0.6942
result/fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral                              LRU cache size     5491, 14294158 req, miss ratio 0.6770, byte miss ratio 0.6770
result/fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral                              LRU cache size    10983, 14294158 req, miss ratio 0.6643, byte miss ratio 0.6643
result/fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral                              LRU cache size    27458, 14294158 req, miss ratio 0.6513, byte miss ratio 0.6513
result/fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral                              LRU cache size    54917, 14294158 req, miss ratio 0.5918, byte miss ratio 0.5918
result/fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral                              LRU cache size   109834, 14294158 req, miss ratio 0.3412, byte miss ratio 0.3412
result/fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral                              LRU cache size   219669, 14294158 req, miss ratio 0.2518, byte miss ratio 0.2518
result/fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral                  S5FIFO-0.1000-2 cache size      549, 14294158 req, miss ratio 0.7493, byte miss ratio 0.7493
result/fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral                  S5FIFO-0.1000-2 cache size     2745, 14294158 req, miss ratio 0.6623, byte miss ratio 0.6623
result/fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral                  S5FIFO-0.1000-2 cache size     5491, 14294158 req, miss ratio 0.6544, byte miss ratio 0.6544
result/fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral                  S5FIFO-0.1000-2 cache size    10983, 14294158 req, miss ratio 0.6424, byte miss ratio 0.6424
result/fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral                  S5FIFO-0.1000-2 cache size    27458, 14294158 req, miss ratio 0.5993, byte miss ratio 0.5993
result/fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral                  S5FIFO-0.1000-2 cache size    54917, 14294158 req, miss ratio 0.4144, byte miss ratio 0.4144
result/fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral                  S5FIFO-0.1000-2 cache size   109834, 14294158 req, miss ratio 0.2306, byte miss ratio 0.2306
result/fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral                  S5FIFO-0.1000-2 cache size   219669, 14294158 req, miss ratio 0.1424, byte miss ratio 0.1424
