result/fiu_webusers-030409-033109.oracleGeneral                             FIFO cache size       93, 7726138 req, miss ratio 0.9687, byte miss ratio 0.9687
result/fiu_webusers-030409-033109.oracleGeneral                             FIFO cache size      469, 7726138 req, miss ratio 0.8603, byte miss ratio 0.8603
result/fiu_webusers-030409-033109.oracleGeneral                             FIFO cache size      938, 7726138 req, miss ratio 0.8280, byte miss ratio 0.8280
result/fiu_webusers-030409-033109.oracleGeneral                             FIFO cache size     1877, 7726138 req, miss ratio 0.7935, byte miss ratio 0.7935
result/fiu_webusers-030409-033109.oracleGeneral                             FIFO cache size     4693, 7726138 req, miss ratio 0.7672, byte miss ratio 0.7672
result/fiu_webusers-030409-033109.oracleGeneral                             FIFO cache size     9387, 7726138 req, miss ratio 0.7543, byte miss ratio 0.7543
result/fiu_webusers-030409-033109.oracleGeneral                             FIFO cache size    18774, 7726138 req, miss ratio 0.7432, byte miss ratio 0.7432
result/fiu_webusers-030409-033109.oracleGeneral                             FIFO cache size    37549, 7726138 req, miss ratio 0.3374, byte miss ratio 0.3374
result/fiu_webusers-030409-033109.oracleGeneral                              LFU cache size       93, 7726138 req, miss ratio 0.8509, byte miss ratio 0.8509
result/fiu_webusers-030409-033109.oracleGeneral                              LFU cache size      469, 7726138 req, miss ratio 0.7614, byte miss ratio 0.7614
result/fiu_webusers-030409-033109.oracleGeneral                              LFU cache size      938, 7726138 req, miss ratio 0.7529, byte miss ratio 0.7529
result/fiu_webusers-030409-033109.oracleGeneral                              LFU cache size     1877, 7726138 req, miss ratio 0.7474, byte miss ratio 0.7474
result/fiu_webusers-030409-033109.oracleGeneral                              LFU cache size     4693, 7726138 req, miss ratio 0.7336, byte miss ratio 0.7336
result/fiu_webusers-030409-033109.oracleGeneral                              LFU cache size     9387, 7726138 req, miss ratio 0.7212, byte miss ratio 0.7212
result/fiu_webusers-030409-033109.oracleGeneral                              LFU cache size    18774, 7726138 req, miss ratio 0.7186, byte miss ratio 0.7186
result/fiu_webusers-030409-033109.oracleGeneral                              LFU cache size    37549, 7726138 req, miss ratio 0.1160, byte miss ratio 0.1160
result/fiu_webusers-030409-033109.oracleGeneral                              LRU cache size       93, 7726138 req, miss ratio 0.9618, byte miss ratio 0.9618
result/fiu_webusers-030409-033109.oracleGeneral                              LRU cache size      469, 7726138 req, miss ratio 0.8141, byte miss ratio 0.8141
result/fiu_webusers-030409-033109.oracleGeneral                              LRU cache size      938, 7726138 req, miss ratio 0.7957, byte miss ratio 0.7957
result/fiu_webusers-030409-033109.oracleGeneral                              LRU cache size     1877, 7726138 req, miss ratio 0.7602, byte miss ratio 0.7602
result/fiu_webusers-030409-033109.oracleGeneral                              LRU cache size     4693, 7726138 req, miss ratio 0.7498, byte miss ratio 0.7498
result/fiu_webusers-030409-033109.oracleGeneral                              LRU cache size     9387, 7726138 req, miss ratio 0.7441, byte miss ratio 0.7441
result/fiu_webusers-030409-033109.oracleGeneral                              LRU cache size    18774, 7726138 req, miss ratio 0.7373, byte miss ratio 0.7373
result/fiu_webusers-030409-033109.oracleGeneral                              LRU cache size    37549, 7726138 req, miss ratio 0.3486, byte miss ratio 0.3486
result/fiu_webusers-030409-033109.oracleGeneral                  S5FIFO-0.1000-2 cache size       93, 7726138 req, miss ratio 0.8105, byte miss ratio 0.8105
result/fiu_webusers-030409-033109.oracleGeneral                  S5FIFO-0.1000-2 cache size      469, 7726138 req, miss ratio 0.7539, byte miss ratio 0.7539
result/fiu_webusers-030409-033109.oracleGeneral                  S5FIFO-0.1000-2 cache size      938, 7726138 req, miss ratio 0.7476, byte miss ratio 0.7476
result/fiu_webusers-030409-033109.oracleGeneral                  S5FIFO-0.1000-2 cache size     1877, 7726138 req, miss ratio 0.7413, byte miss ratio 0.7413
result/fiu_webusers-030409-033109.oracleGeneral                  S5FIFO-0.1000-2 cache size     4693, 7726138 req, miss ratio 0.7282, byte miss ratio 0.7282
result/fiu_webusers-030409-033109.oracleGeneral                  S5FIFO-0.1000-2 cache size     9387, 7726138 req, miss ratio 0.7236, byte miss ratio 0.7236
