result/fiu_casa-110108-112108.oracleGeneral                             FIFO cache size      325, 8973201 req, miss ratio 0.4753, byte miss ratio 0.4753
result/fiu_casa-110108-112108.oracleGeneral                             FIFO cache size     1629, 8973201 req, miss ratio 0.3066, byte miss ratio 0.3066
result/fiu_casa-110108-112108.oracleGeneral                             FIFO cache size     3258, 8973201 req, miss ratio 0.2662, byte miss ratio 0.2662
result/fiu_casa-110108-112108.oracleGeneral                             FIFO cache size     6516, 8973201 req, miss ratio 0.2351, byte miss ratio 0.2351
result/fiu_casa-110108-112108.oracleGeneral                             FIFO cache size    16292, 8973201 req, miss ratio 0.2037, byte miss ratio 0.2037
result/fiu_casa-110108-112108.oracleGeneral                             FIFO cache size    32584, 8973201 req, miss ratio 0.1908, byte miss ratio 0.1908
result/fiu_casa-110108-112108.oracleGeneral                             FIFO cache size    65168, 8973201 req, miss ratio 0.1406, byte miss ratio 0.1406
result/fiu_casa-110108-112108.oracleGeneral                             FIFO cache size   130337, 8973201 req, miss ratio 0.0765, byte miss ratio 0.0765
result/fiu_casa-110108-112108.oracleGeneral                              LFU cache size      325, 8973201 req, miss ratio 0.5841, byte miss ratio 0.5841
result/fiu_casa-110108-112108.oracleGeneral                              LFU cache size     1629, 8973201 req, miss ratio 0.5442, byte miss ratio 0.5442
result/fiu_casa-110108-112108.oracleGeneral                              LFU cache size     3258, 8973201 req, miss ratio 0.5056, byte miss ratio 0.5056
result/fiu_casa-110108-112108.oracleGeneral                              LFU cache size     6516, 8973201 req, miss ratio 0.4280, byte miss ratio 0.4280
result/fiu_casa-110108-112108.oracleGeneral                              LFU cache size    16292, 8973201 req, miss ratio 0.2806, byte miss ratio 0.2806
result/fiu_casa-110108-112108.oracleGeneral                              LFU cache size    32584, 8973201 req, miss ratio 0.2313, byte miss ratio 0.2313
result/fiu_casa-110108-112108.oracleGeneral                              LFU cache size    65168, 8973201 req, miss ratio 0.1570, byte miss ratio 0.1570
result/fiu_casa-110108-112108.oracleGeneral                              LFU cache size   130337, 8973201 req, miss ratio 0.0675, byte miss ratio 0.0675
result/fiu_casa-110108-112108.oracleGeneral                              LRU cache size      325, 8973201 req, miss ratio 0.3807, byte miss ratio 0.3807
result/fiu_casa-110108-112108.oracleGeneral                              LRU cache size     1629, 8973201 req, miss ratio 0.2728, byte miss ratio 0.2728
result/fiu_casa-110108-112108.oracleGeneral                              LRU cache size     3258, 8973201 req, miss ratio 0.2439, byte miss ratio 0.2439
result/fiu_casa-110108-112108.oracleGeneral                              LRU cache size     6516, 8973201 req, miss ratio 0.2200, byte miss ratio 0.2200
result/fiu_casa-110108-112108.oracleGeneral                              LRU cache size    16292, 8973201 req, miss ratio 0.1927, byte miss ratio 0.1927
result/fiu_casa-110108-112108.oracleGeneral                              LRU cache size    32584, 8973201 req, miss ratio 0.1840, byte miss ratio 0.1840
result/fiu_casa-110108-112108.oracleGeneral                              LRU cache size    65168, 8973201 req, miss ratio 0.1268, byte miss ratio 0.1268
result/fiu_casa-110108-112108.oracleGeneral                              LRU cache size   130337, 8973201 req, miss ratio 0.0612, byte miss ratio 0.0612
result/fiu_casa-110108-112108.oracleGeneral                  S5FIFO-0.1000-2 cache size      325, 8973201 req, miss ratio 0.3101, byte miss ratio 0.3101
