result/fiu_webresearch-030409-033109.oracleGeneral                             FIFO cache size       45, 3274061 req, miss ratio 0.9627, byte miss ratio 0.9627
result/fiu_webresearch-030409-033109.oracleGeneral                             FIFO cache size      226, 3274061 req, miss ratio 0.8321, byte miss ratio 0.8321
result/fiu_webresearch-030409-033109.oracleGeneral                             FIFO cache size      453, 3274061 req, miss ratio 0.7916, byte miss ratio 0.7916
result/fiu_webresearch-030409-033109.oracleGeneral                             FIFO cache size      907, 3274061 req, miss ratio 0.7278, byte miss ratio 0.7278
result/fiu_webresearch-030409-033109.oracleGeneral                             FIFO cache size     2269, 3274061 req, miss ratio 0.6830, byte miss ratio 0.6830
result/fiu_webresearch-030409-033109.oracleGeneral                             FIFO cache size     4538, 3274061 req, miss ratio 0.6667, byte miss ratio 0.6667
result/fiu_webresearch-030409-033109.oracleGeneral                             FIFO cache size     9076, 3274061 req, miss ratio 0.6574, byte miss ratio 0.6574
result/fiu_webresearch-030409-033109.oracleGeneral                             FIFO cache size    18153, 3274061 req, miss ratio 0.6522, byte miss ratio 0.6522
result/fiu_webresearch-030409-033109.oracleGeneral                              LFU cache size       45, 3274061 req, miss ratio 0.8433, byte miss ratio 0.8433
result/fiu_webresearch-030409-033109.oracleGeneral                              LFU cache size      226, 3274061 req, miss ratio 0.6805, byte miss ratio 0.6805
result/fiu_webresearch-030409-033109.oracleGeneral                              LFU cache size      453, 3274061 req, miss ratio 0.6675, byte miss ratio 0.6675
result/fiu_webresearch-030409-033109.oracleGeneral                              LFU cache size      907, 3274061 req, miss ratio 0.6515, byte miss ratio 0.6515
result/fiu_webresearch-030409-033109.oracleGeneral                              LFU cache size     2269, 3274061 req, miss ratio 0.6414, byte miss ratio 0.6414
result/fiu_webresearch-030409-033109.oracleGeneral                              LFU cache size     4538, 3274061 req, miss ratio 0.6398, byte miss ratio 0.6398
result/fiu_webresearch-030409-033109.oracleGeneral                              LFU cache size     9076, 3274061 req, miss ratio 0.6394, byte miss ratio 0.6394
result/fiu_webresearch-030409-033109.oracleGeneral                              LFU cache size    18153, 3274061 req, miss ratio 0.6393, byte miss ratio 0.6393
result/fiu_webresearch-030409-033109.oracleGeneral                              LRU cache size       45, 3274061 req, miss ratio 0.9479, byte miss ratio 0.9479
result/fiu_webresearch-030409-033109.oracleGeneral                              LRU cache size      226, 3274061 req, miss ratio 0.7971, byte miss ratio 0.7971
result/fiu_webresearch-030409-033109.oracleGeneral                              LRU cache size      453, 3274061 req, miss ratio 0.7487, byte miss ratio 0.7487
result/fiu_webresearch-030409-033109.oracleGeneral                              LRU cache size      907, 3274061 req, miss ratio 0.6675, byte miss ratio 0.6675
result/fiu_webresearch-030409-033109.oracleGeneral                              LRU cache size     2269, 3274061 req, miss ratio 0.6543, byte miss ratio 0.6543
result/fiu_webresearch-030409-033109.oracleGeneral                              LRU cache size     4538, 3274061 req, miss ratio 0.6506, byte miss ratio 0.6506
result/fiu_webresearch-030409-033109.oracleGeneral                              LRU cache size     9076, 3274061 req, miss ratio 0.6480, byte miss ratio 0.6480
result/fiu_webresearch-030409-033109.oracleGeneral                              LRU cache size    18153, 3274061 req, miss ratio 0.6470, byte miss ratio 0.6470
result/fiu_webresearch-030409-033109.oracleGeneral                  S5FIFO-0.1000-2 cache size       45, 3274061 req, miss ratio 0.7671, byte miss ratio 0.7671
result/fiu_webresearch-030409-033109.oracleGeneral                  S5FIFO-0.1000-2 cache size      226, 3274061 req, miss ratio 0.6674, byte miss ratio 0.6674
result/fiu_webresearch-030409-033109.oracleGeneral                  S5FIFO-0.1000-2 cache size      453, 3274061 req, miss ratio 0.6518, byte miss ratio 0.6518
result/fiu_webresearch-030409-033109.oracleGeneral                  S5FIFO-0.1000-2 cache size      907, 3274061 req, miss ratio 0.6456, byte miss ratio 0.6456
result/fiu_webresearch-030409-033109.oracleGeneral                  S5FIFO-0.1000-2 cache size     2269, 3274061 req, miss ratio 0.6418, byte miss ratio 0.6418
result/fiu_webresearch-030409-033109.oracleGeneral                  S5FIFO-0.1000-2 cache size     4538, 3274061 req, miss ratio 0.6431, byte miss ratio 0.6431
result/fiu_webresearch-030409-033109.oracleGeneral                  S5FIFO-0.1000-2 cache size     9076, 3274061 req, miss ratio 0.6432, byte miss ratio 0.6432
result/fiu_webresearch-030409-033109.oracleGeneral                  S5FIFO-0.1000-2 cache size    18153, 3274061 req, miss ratio 0.4145, byte miss ratio 0.4145
result/fiu_webresearch-030409-033109.oracleGeneral                  S4FIFO-0.1000-2 cache size       45, 3274061 req, miss ratio 0.8287, byte miss ratio 0.8287
result/fiu_webresearch-030409-033109.oracleGeneral                  S4FIFO-0.1000-2 cache size      226, 3274061 req, miss ratio 0.6711, byte miss ratio 0.6711
result/fiu_webresearch-030409-033109.oracleGeneral                  S4FIFO-0.1000-2 cache size      453, 3274061 req, miss ratio 0.6617, byte miss ratio 0.6617
result/fiu_webresearch-030409-033109.oracleGeneral                  S4FIFO-0.1000-2 cache size      907, 3274061 req, miss ratio 0.6462, byte miss ratio 0.6462
result/fiu_webresearch-030409-033109.oracleGeneral                  S4FIFO-0.1000-2 cache size     2269, 3274061 req, miss ratio 0.6419, byte miss ratio 0.6419
result/fiu_webresearch-030409-033109.oracleGeneral                  S4FIFO-0.1000-2 cache size     4538, 3274061 req, miss ratio 0.6433, byte miss ratio 0.6433
result/fiu_webresearch-030409-033109.oracleGeneral                  S4FIFO-0.1000-2 cache size     9076, 3274061 req, miss ratio 0.6433, byte miss ratio 0.6433
result/fiu_webresearch-030409-033109.oracleGeneral                  S4FIFO-0.1000-2 cache size    18153, 3274061 req, miss ratio 0.6409, byte miss ratio 0.6409
result/fiu_webresearch-030409-033109.oracleGeneral       S3FIFO_TIME_DELAY-0.1000-2 cache size       45, 3274061 req, miss ratio 0.7656, byte miss ratio 0.7656
result/fiu_webresearch-030409-033109.oracleGeneral       S3FIFO_TIME_DELAY-0.1000-2 cache size      226, 3274061 req, miss ratio 0.6678, byte miss ratio 0.6678
result/fiu_webresearch-030409-033109.oracleGeneral       S3FIFO_TIME_DELAY-0.1000-2 cache size      453, 3274061 req, miss ratio 0.6521, byte miss ratio 0.6521
result/fiu_webresearch-030409-033109.oracleGeneral       S3FIFO_TIME_DELAY-0.1000-2 cache size      907, 3274061 req, miss ratio 0.6456, byte miss ratio 0.6456
result/fiu_webresearch-030409-033109.oracleGeneral       S3FIFO_TIME_DELAY-0.1000-2 cache size     2269, 3274061 req, miss ratio 0.6423, byte miss ratio 0.6423
result/fiu_webresearch-030409-033109.oracleGeneral       S3FIFO_TIME_DELAY-0.1000-2 cache size     4538, 3274061 req, miss ratio 0.6435, byte miss ratio 0.6435
result/fiu_webresearch-030409-033109.oracleGeneral       S3FIFO_TIME_DELAY-0.1000-2 cache size     9076, 3274061 req, miss ratio 0.6434, byte miss ratio 0.6434
result/fiu_webresearch-030409-033109.oracleGeneral       S3FIFO_TIME_DELAY-0.1000-2 cache size    18153, 3274061 req, miss ratio 0.4502, byte miss ratio 0.4502
result/fiu_webresearch-030409-033109.oracleGeneral                  S3FIFO-0.1000-2 cache size       45, 3274061 req, miss ratio 0.7656, byte miss ratio 0.7656
result/fiu_webresearch-030409-033109.oracleGeneral                  S3FIFO-0.1000-2 cache size      226, 3274061 req, miss ratio 0.6677, byte miss ratio 0.6677
result/fiu_webresearch-030409-033109.oracleGeneral                  S3FIFO-0.1000-2 cache size      453, 3274061 req, miss ratio 0.6520, byte miss ratio 0.6520
result/fiu_webresearch-030409-033109.oracleGeneral                  S3FIFO-0.1000-2 cache size      907, 3274061 req, miss ratio 0.6456, byte miss ratio 0.6456
