result/msr_src1_1.oracleGeneral                             FIFO cache size     6170, 45746222 req, miss ratio 0.9715, byte miss ratio 0.9715
result/msr_src1_1.oracleGeneral                             FIFO cache size    30851, 45746222 req, miss ratio 0.9448, byte miss ratio 0.9448
result/msr_src1_1.oracleGeneral                             FIFO cache size    61702, 45746222 req, miss ratio 0.9253, byte miss ratio 0.9253
result/msr_src1_1.oracleGeneral                             FIFO cache size   123405, 45746222 req, miss ratio 0.9066, byte miss ratio 0.9066
result/msr_src1_1.oracleGeneral                             FIFO cache size   308514, 45746222 req, miss ratio 0.8707, byte miss ratio 0.8707
result/msr_src1_1.oracleGeneral                             FIFO cache size   617028, 45746222 req, miss ratio 0.8147, byte miss ratio 0.8147
result/msr_src1_1.oracleGeneral                             FIFO cache size  1234057, 45746222 req, miss ratio 0.7773, byte miss ratio 0.7773
result/msr_src1_1.oracleGeneral                             FIFO cache size  2468114, 45746222 req, miss ratio 0.7648, byte miss ratio 0.7648
result/msr_src1_1.oracleGeneral                              LFU cache size     6170, 45746222 req, miss ratio 0.9854, byte miss ratio 0.9854
result/msr_src1_1.oracleGeneral                              LFU cache size    30851, 45746222 req, miss ratio 0.9613, byte miss ratio 0.9613
result/msr_src1_1.oracleGeneral                              LFU cache size    61702, 45746222 req, miss ratio 0.9420, byte miss ratio 0.9420
result/msr_src1_1.oracleGeneral                              LFU cache size   123405, 45746222 req, miss ratio 0.9242, byte miss ratio 0.9242
result/msr_src1_1.oracleGeneral                              LFU cache size   308514, 45746222 req, miss ratio 0.8709, byte miss ratio 0.8709
result/msr_src1_1.oracleGeneral                              LFU cache size   617028, 45746222 req, miss ratio 0.7884, byte miss ratio 0.7884
result/msr_src1_1.oracleGeneral                              LFU cache size  1234057, 45746222 req, miss ratio 0.6443, byte miss ratio 0.6443
result/msr_src1_1.oracleGeneral                              LFU cache size  2468114, 45746222 req, miss ratio 0.6024, byte miss ratio 0.6024
result/msr_src1_1.oracleGeneral                              LRU cache size     6170, 45746222 req, miss ratio 0.9715, byte miss ratio 0.9715
result/msr_src1_1.oracleGeneral                              LRU cache size    30851, 45746222 req, miss ratio 0.9450, byte miss ratio 0.9450
result/msr_src1_1.oracleGeneral                              LRU cache size    61702, 45746222 req, miss ratio 0.9238, byte miss ratio 0.9238
result/msr_src1_1.oracleGeneral                              LRU cache size   123405, 45746222 req, miss ratio 0.9037, byte miss ratio 0.9037
