result/w29.oracleGeneral.bin                             FIFO cache size     4906, 19087784 req, miss ratio 0.8959, byte miss ratio 0.8959
result/w29.oracleGeneral.bin                             FIFO cache size    24530, 19087784 req, miss ratio 0.7842, byte miss ratio 0.7842
result/w29.oracleGeneral.bin                             FIFO cache size    49060, 19087784 req, miss ratio 0.7202, byte miss ratio 0.7202
result/w29.oracleGeneral.bin                             FIFO cache size    98121, 19087784 req, miss ratio 0.6584, byte miss ratio 0.6584
result/w29.oracleGeneral.bin                             FIFO cache size   245304, 19087784 req, miss ratio 0.5806, byte miss ratio 0.5806
result/w29.oracleGeneral.bin                             FIFO cache size   490609, 19087784 req, miss ratio 0.5300, byte miss ratio 0.5300
result/w29.oracleGeneral.bin                             FIFO cache size   981219, 19087784 req, miss ratio 0.4665, byte miss ratio 0.4665
result/w29.oracleGeneral.bin                             FIFO cache size  1962438, 19087784 req, miss ratio 0.3708, byte miss ratio 0.3708
result/w29.oracleGeneral.bin                              LFU cache size     4906, 19087784 req, miss ratio 0.9845, byte miss ratio 0.9845
result/w29.oracleGeneral.bin                              LFU cache size    24530, 19087784 req, miss ratio 0.9684, byte miss ratio 0.9684
result/w29.oracleGeneral.bin                              LFU cache size    49060, 19087784 req, miss ratio 0.9473, byte miss ratio 0.9473
result/w29.oracleGeneral.bin                              LFU cache size    98121, 19087784 req, miss ratio 0.9277, byte miss ratio 0.9277
result/w29.oracleGeneral.bin                              LFU cache size   245304, 19087784 req, miss ratio 0.8553, byte miss ratio 0.8553
result/w29.oracleGeneral.bin                              LFU cache size   490609, 19087784 req, miss ratio 0.7697, byte miss ratio 0.7697
result/w29.oracleGeneral.bin                              LFU cache size   981219, 19087784 req, miss ratio 0.6363, byte miss ratio 0.6363
result/w29.oracleGeneral.bin                              LFU cache size  1962438, 19087784 req, miss ratio 0.3287, byte miss ratio 0.3287
result/w29.oracleGeneral.bin                              LRU cache size     4906, 19087784 req, miss ratio 0.8940, byte miss ratio 0.8940
result/w29.oracleGeneral.bin                              LRU cache size    24530, 19087784 req, miss ratio 0.7659, byte miss ratio 0.7659
result/w29.oracleGeneral.bin                              LRU cache size    49060, 19087784 req, miss ratio 0.6920, byte miss ratio 0.6920
result/w29.oracleGeneral.bin                              LRU cache size    98121, 19087784 req, miss ratio 0.6299, byte miss ratio 0.6299
result/w29.oracleGeneral.bin                              LRU cache size   245304, 19087784 req, miss ratio 0.5587, byte miss ratio 0.5587
result/w29.oracleGeneral.bin                              LRU cache size   490609, 19087784 req, miss ratio 0.5130, byte miss ratio 0.5130
result/w29.oracleGeneral.bin                              LRU cache size   981219, 19087784 req, miss ratio 0.4596, byte miss ratio 0.4596
result/w29.oracleGeneral.bin                              LRU cache size  1962438, 19087784 req, miss ratio 0.3365, byte miss ratio 0.3365
result/w29.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     4906, 19087784 req, miss ratio 0.8990, byte miss ratio 0.8990
result/w29.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    24530, 19087784 req, miss ratio 0.7221, byte miss ratio 0.7221
result/w29.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    49060, 19087784 req, miss ratio 0.6608, byte miss ratio 0.6608
result/w29.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    98121, 19087784 req, miss ratio 0.6132, byte miss ratio 0.6132
result/w29.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   245304, 19087784 req, miss ratio 0.5655, byte miss ratio 0.5655
result/w29.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   490609, 19087784 req, miss ratio 0.5165, byte miss ratio 0.5165
result/w29.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   981219, 19087784 req, miss ratio 0.4041, byte miss ratio 0.4041
