result/w100.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     1771, 3645877 req, miss ratio 0.7828, byte miss ratio 0.7828
result/w100.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     5314, 3645877 req, miss ratio 0.7255, byte miss ratio 0.7255
result/w100.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    17714, 3645877 req, miss ratio 0.7041, byte miss ratio 0.7041
result/w100.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    53142, 3645877 req, miss ratio 0.6755, byte miss ratio 0.6755
result/w100.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   177141, 3645877 req, miss ratio 0.6482, byte miss ratio 0.6482
result/w100.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   354283, 3645877 req, miss ratio 0.6122, byte miss ratio 0.6122
result/w100.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   708567, 3645877 req, miss ratio 0.5361, byte miss ratio 0.5361
result/w100.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size  1417134, 3645877 req, miss ratio 0.4957, byte miss ratio 0.4957
result/w100.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     1771, 3645877 req, miss ratio 0.7720, byte miss ratio 0.7720
result/w100.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     5314, 3645877 req, miss ratio 0.7230, byte miss ratio 0.7230
result/w100.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    17714, 3645877 req, miss ratio 0.7029, byte miss ratio 0.7029
result/w100.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    53142, 3645877 req, miss ratio 0.6754, byte miss ratio 0.6754
result/w100.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   177141, 3645877 req, miss ratio 0.6482, byte miss ratio 0.6482
result/w100.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   354283, 3645877 req, miss ratio 0.6122, byte miss ratio 0.6122
result/w100.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   708567, 3645877 req, miss ratio 0.5361, byte miss ratio 0.5361
result/w100.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size  1417134, 3645877 req, miss ratio 0.4957, byte miss ratio 0.4957
result/w100.oracleGeneral.bin                              LRU cache size     1771, 3645877 req, miss ratio 0.8051, byte miss ratio 0.8051
result/w100.oracleGeneral.bin                              LRU cache size     5314, 3645877 req, miss ratio 0.7788, byte miss ratio 0.7788
result/w100.oracleGeneral.bin                              LRU cache size    17714, 3645877 req, miss ratio 0.7468, byte miss ratio 0.7468
result/w100.oracleGeneral.bin                              LRU cache size    53142, 3645877 req, miss ratio 0.7043, byte miss ratio 0.7043
result/w100.oracleGeneral.bin                              LRU cache size   177141, 3645877 req, miss ratio 0.6722, byte miss ratio 0.6722
result/w100.oracleGeneral.bin                              LRU cache size   354283, 3645877 req, miss ratio 0.6395, byte miss ratio 0.6395
result/w100.oracleGeneral.bin                              LRU cache size   708567, 3645877 req, miss ratio 0.5294, byte miss ratio 0.5294
result/w100.oracleGeneral.bin                              LRU cache size  1417134, 3645877 req, miss ratio 0.4961, byte miss ratio 0.4961
result/w100.oracleGeneral.bin                             FIFO cache size     1771, 3645877 req, miss ratio 0.8204, byte miss ratio 0.8204
result/w100.oracleGeneral.bin                             FIFO cache size     5314, 3645877 req, miss ratio 0.7910, byte miss ratio 0.7910
result/w100.oracleGeneral.bin                             FIFO cache size    17714, 3645877 req, miss ratio 0.7591, byte miss ratio 0.7591
result/w100.oracleGeneral.bin                             FIFO cache size    53142, 3645877 req, miss ratio 0.7220, byte miss ratio 0.7220
result/w100.oracleGeneral.bin                             FIFO cache size   177141, 3645877 req, miss ratio 0.6854, byte miss ratio 0.6854
result/w100.oracleGeneral.bin                             FIFO cache size   354283, 3645877 req, miss ratio 0.6550, byte miss ratio 0.6550
result/w100.oracleGeneral.bin                             FIFO cache size   708567, 3645877 req, miss ratio 0.5561, byte miss ratio 0.5561
result/w100.oracleGeneral.bin                             FIFO cache size  1417134, 3645877 req, miss ratio 0.5061, byte miss ratio 0.5061
result/w100.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size     1771, 3645877 req, miss ratio 0.7900, byte miss ratio 0.7900
result/w100.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size     5314, 3645877 req, miss ratio 0.7378, byte miss ratio 0.7378
result/w100.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size    17714, 3645877 req, miss ratio 0.7104, byte miss ratio 0.7104
result/w100.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size    53142, 3645877 req, miss ratio 0.6840, byte miss ratio 0.6840
result/w100.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size   177141, 3645877 req, miss ratio 0.6399, byte miss ratio 0.6399
result/w100.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size   354283, 3645877 req, miss ratio 0.6079, byte miss ratio 0.6079
result/w100.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size   708567, 3645877 req, miss ratio 0.5490, byte miss ratio 0.5490
result/w100.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size  1417134, 3645877 req, miss ratio 0.4958, byte miss ratio 0.4958
